en_line	fr_carve	combo	coverage	fluency
the cat and the fiddle	débat n devaient elle	0.515	1.00	0.482
the cow jumped over the moon	locales en peux semoule	0.484	0.84	0.473
the little dog laughed to see such sport	générales éclatent taux et et sparte	0.493	0.96	0.398
Mary had a little lamb	médias énergie	0.428	0.75	0.477
its fleece was white as snow	êtes flux les aillent as nos	0.517	0.90	0.457
twinkle twinkle little star	soin collent vain gauloises are	0.446	0.87	0.327
how I wonder what you are	caravanes et huard	0.448	0.81	0.277
up above the world so high	épopées dehors sauras	0.426	0.83	0.190
like a diamond in the sky	laquais amènent un deux cas	0.523	0.81	0.510
Jack and Jill went up the hill	chacun des loin types elle	0.483	0.82	0.440
to fetch a pail of water	fait est chapiteaux or	0.547	0.88	0.585
Jack fell down and broke his crown	jackpot en in briques crâne	0.543	0.81	0.396
Humpty Dumpty sat on a wall	un petit un petit et on éole	0.521	0.90	0.703
Humpty Dumpty had a great fall	un petit on pays écrit folles	0.530	0.83	0.558
Hickory dickory dock	cries critiques	0.616	0.77	0.413
the mouse ran up the clock	damas rhin as éclate	0.465	0.94	0.396
yes sir yes sir three bags full	s ayez saint remakes full	0.477	0.95	0.427
little Miss Muffet sat on a tuffet	larmes met êtes et on et évite	0.469	0.88	0.550
along came a spider	élan guillemets pas	0.463	0.86	0.312
to fetch her poor dog a bone	tout est chauffeurs aquitaine	0.466	0.89	0.542
rain rain go away	rien rien corée	0.520	0.80	0.424
come again another day	camion un aux deux	0.434	0.86	0.652
gently down the stream	gênent les en ces trime	0.621	0.89	0.477
London bridge is falling down	land on bridges pollen âne	0.578	0.91	0.381
a pocket full of posies	impact les beaux il	0.444	0.82	0.646
Peter Peter pumpkin eater	partisan pain in	0.464	0.87	0.573
sing a song of sixpence	sain et on évêques peine	0.459	0.88	0.518
a pocket full of rye	impact devra	0.505	0.79	0.398
four and twenty blackbirds	foraines soin publiquement et	0.550	1.00	0.316
baked in a pie	but un état	0.444	0.82	0.783
Georgie Porgie pudding and pie	dort support gibet on n pas	0.527	0.92	0.490
kissed the girls and made them cry	kystes écoles in médecin créer	0.493	0.96	0.398
Tom Tom the pipers son	en dames papes zone	0.538	0.81	0.389
stole a pig and away he run	stalinien délivré	0.451	0.76	0.102
little Jack Horner sat in a corner	lord licornes et un écorces	0.521	0.91	0.487
eating a Christmas pie	iran écris mais pas	0.592	0.93	0.453
hey diddle diddle	et tels est elle	0.492	0.77	0.687
wee Willie Winkie runs through the town	vilain couronnes trous est à	0.464	0.75	0.476
Mary Mary quite contrary	marin indiquant khan prairie	0.616	0.90	0.245
how does your garden grow	est aux organes un gros	0.522	0.79	0.650
there was an old woman	cerveaux un halls on n	0.459	0.88	0.516
who lived in a shoe	élèves on échoue	0.522	0.91	0.487
Jack Sprat could eat no fat	jacks prend con et néophytes	0.512	1.00	0.283
pat a cake pat a cake bakers man	peut équipement équivoques man	0.473	0.83	0.371
one two buckle my shoe	on toboggan atout	0.462	0.80	0.378
three four knock at the door	prison enquêtes est or	0.486	0.94	0.548
five six pick up sticks	failles secs piquet x	0.548	0.89	0.209
the north wind doth blow	demeurent in d plot	0.442	0.88	0.546
and we shall have snow	on décisives nos	0.454	0.80	0.469
ride a cock horse to Banbury cross	rat écouteurs demain barricades	0.501	0.88	0.182
to see a fine lady	d et en lady	0.581	0.79	0.722
upon a white horse	pan avait corse	0.552	0.85	0.345
see saw Margery Daw	ses on hardes rient on	0.546	1.00	0.416
Jack shall have a new master	décalées on immense	0.424	0.76	0.422
ladybird ladybird fly away home	les aimait les aimait floréal	0.495	0.75	0.488
