en	fr	certifications	example_loop
succeed	secs ides	10	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
sicked	secte	10	en:sect ~ fr:secte ≈ en:sicked ~ en:sicks ≈ fr:sexe ~ en:sex ≈ fr:sectes
sicks	sexe	10	en:sect ~ fr:secte ≈ en:sicked ~ en:sicks ≈ fr:sexe ~ en:sex ≈ fr:sectes
sex	sectes	10	en:sect ~ fr:secte ≈ en:sicked ~ en:sicks ≈ fr:sexe ~ en:sex ≈ fr:sectes
root	routes	8	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
roots	route	8	en:root ≈ fr:routes ~ fr:route ≈ en:roots = fr:racines
success	secs ace	8	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
stalky	stocker	8	en:stalk ≈ fr:stockent ~ fr:stocker ≈ en:stalky
strip	stream	8	en:stream ~ fr:stream ≈ en:strip ~ fr:strip ≈ en:streams
stream	strip	8	en:streams ~ fr:stream ≈ en:strip ~ fr:strip ≈ en:stream
tests	test	8	en:test ≈ fr:tests ~ en:tests ≈ fr:test
call	colle	7	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
lender	lin des	7	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lenders	lin dos	7	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
read	ride	7	en:read ≈ fr:ride ~ fr:rides ≈ en:reads
beats	bite	6	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
classes	clans aise	6	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
cruck	crack	6	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
crack	craque	6	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
cross	crosse	6	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
crosse	cross	6	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
exit arse	existence	6	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
exit	existent	6	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
exploring	explorer	6	en:exploration ~ en:exploring ≈ fr:explorer ~ en:explorer ≈ fr:exploré = en:explored
foresee	foncé	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresees	fonceuse	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
meanie	mini	6	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
meany	minis	6	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
peaky	piquer	6	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ en:peake
pieced	pistent	6	en:piece ≈ fr:pisses ~ en:pissed ≈ fr:piste ~ fr:pistent ≈ en:pieced
pleat	plisse	6	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
reads	ride	6	en:read ≈ fr:rides ~ fr:ride ≈ en:reads
reads	rides	6	en:read ≈ fr:ride ~ fr:rides ≈ en:reads
routes	route	6	en:road = fr:route ≈ en:routes ~ en:route ≈ fr:routes = en:roads
route	routes	6	en:road = fr:route ≈ en:routes ~ en:route ≈ fr:routes = en:roads
role	roll	6	en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
tells	tels	6	en:tel ≈ fr:telles ~ fr:telle ≈ en:tell ~ en:tells ≈ fr:tels
test	testes	6	en:testers ~ fr:testes ≈ en:test ~ fr:test ≈ en:tests ~ en:testes
troop	troupe	6	en:troop ≈ fr:troupe ~ fr:troupes ≈ en:troops
beat	bites	5	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beat	bite	5	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
beats	bites	5	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
calls	collent	5	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
calls	colle	5	en:call ≈ fr:cols ~ fr:colle ≈ en:calls
clack	claque	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
clam	clame	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
feel	files	5	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feels
feeler	filer	5	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feels
myself	mas elfes	5	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself
yourself	ions elfes	5	en:himself ≈ fr:aimes elfes ~ fr:ions elfes ≈ en:yourself ~ en:myself
southwest	cent ouest	5	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
northwest	nœud ouest	5	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
read	rides	5	en:read ≈ fr:rides ~ fr:ride ≈ en:reads
streak	stricte	5	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaked
streaks	strict	5	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaks
call	cols	4	en:call ≈ fr:cols ~ fr:colle ≈ en:calls
stop	step	4	en:cease ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop
classy	clans sis	4	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
court	cotes	4	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts
courts	cotes	4	en:court ≈ fr:cote ~ fr:cotes ≈ en:courts
exclude	exclus	4	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus ≈ en:exclude
existed	exit aide	4	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
exit art	existantes	4	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
explains	explose	4	en:explain ~ en:explained ≈ fr:explosent ~ fr:explose ≈ en:explains ~ en:explaining
explore	explose	4	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:exploser
explored	explosent	4	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:exploser
explorer	explore	4	en:exploration ~ en:exploring ≈ fr:explorer ~ en:explorer ≈ fr:explore = en:explores
extending	axent haines in	4	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extended	axent haines aide	4	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
fortunate	faut chaînette	4	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ en:fortunato
fortunately	faut chenet lis	4	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ en:fortunato
founders	fanent aise	4	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founding	fanent in	4	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
gene	gins	4	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genome	gin dôme	4	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
agrees	grise	4	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
agree	gris	4	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
grape	grippe	4	en:grip ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:gripping
grasp	grappes	4	en:grip ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:gripping
gin	jean	4	en:jean ≈ fr:gin ~ en:gin ≈ fr:jean
lord	lords	4	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
lords	lord	4	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
meet	mythe	4	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
meets	mythes	4	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
pissed	piste	4	en:piece ≈ fr:pisses ~ en:pissed ≈ fr:piste ~ fr:pistent ≈ en:pieced
piece	pisse	4	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
plea	pli	4	en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleas
plea	plis	4	en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleas
pleader	plaider	4	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
porters	pot aise	4	en:porters ≈ fr:pot aise ~ fr:potes ≈ en:porter
porter	potes	4	en:porters ≈ fr:pot aise ~ fr:potes ≈ en:porter
possessed	paix est	4	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
predator	prêt tes	4	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
prep	prêt	4	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
pressie	précis	4	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies
quantities	quad dix	4	en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
quantity	quad tee	4	en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
register	raids ester	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
registered	raids stade	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
retailer	rient ailé	4	en:retail ~ en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
retailers	rient hélas	4	en:retail ~ en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
set	sets	4	en:set ≈ fr:sets ~ en:sets ≈ fr:set
sets	set	4	en:set ≈ fr:sets ~ en:sets ≈ fr:set
sex	sexy	4	en:sexed ~ en:sex ≈ fr:sexy ~ en:sexy ≈ fr:sexe
sexy	sexe	4	en:sexed ~ en:sex ≈ fr:sexy ~ en:sexy ≈ fr:sexe
soupy	souper	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
soup	soupe	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
stress	stresse	4	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ fr:stressé
stressed	stress	4	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ fr:stressé
stream	string	4	en:string ~ fr:string ≈ en:stream ~ fr:stream ≈ en:strings
technically	techniques lies	4	en:technically ≈ fr:techniques lies ~ en:technique ≈ fr:techniquement
technique	techniquement	4	en:technically ≈ fr:techniques lies ~ en:technique ≈ fr:techniquement
test	tests	4	en:test ≈ fr:tests ~ en:tests ≈ fr:teste
traders	trait aise	4	en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
trading	trait in	4	en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
true	trous	4	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ en:wahre
truly	trous lies	4	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ en:wahre
check	tchèques	3	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
closes	clause	3	en:close ~ fr:close ≈ en:clause ~ fr:clause ≈ en:closes
cooed	coude	3	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
coot	coudes	3	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
fool	foule	3	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
fools	foules	3	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
explorer	exploré	3	en:exploration ~ en:exploring ≈ fr:explorer ~ en:explorer ≈ fr:exploré = en:explored
fall	folle	3	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
falls	folles	3	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
feels	files	3	en:feel ≈ fr:file ~ fr:files ≈ en:feels
peak	piquent	3	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ en:peake
piece	pisses	3	en:piece ≈ fr:pisses ~ en:pissed ≈ fr:piste ~ fr:pistent ≈ en:pieced
poof	pouf	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
poop	poupe	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
pressies	précise	3	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies
proves	prouve	3	en:proof ~ fr:prouve ≈ en:proves ~ fr:prouvent ≈ en:prove
prove	prouvent	3	en:proof ~ fr:prouve ≈ en:proves ~ fr:prouvent ≈ en:prove
prove	prouve	3	en:proof ~ fr:prouve ≈ en:prove ~ en:proves ≈ fr:prouvent ~ fr:prouver
proves	prouvent	3	en:proof ~ fr:prouve ≈ en:prove ~ en:proves ≈ fr:prouvent ~ fr:prouver
protector	prêt excès	3	en:protecting ~ en:protects ≈ fr:protectrice = en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection
protection	prêt excède	3	en:protecting ~ en:protects ≈ fr:protectrice = en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection
reader	rides	3	en:reader ≈ fr:rides ~ fr:ride ≈ en:reads ~ fr:reading
roll	rôles	3	en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
roll	rôle	3	en:role ≈ fr:roll ~ en:roll ≈ fr:rôle
stalk	stockent	3	en:stalk ≈ fr:stockent ~ fr:stocker ≈ en:stalky
steal	styles	3	en:steal ≈ fr:styles ~ fr:style ≈ en:steals
steals	style	3	en:steal ≈ fr:styles ~ fr:style ≈ en:steals
steal	style	3	en:steal ≈ fr:style ~ fr:styles ≈ en:steals
steals	styles	3	en:steal ≈ fr:style ~ fr:styles ≈ en:steals
streaked	strict	3	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaked
streak	strictes	3	en:streaked ≈ fr:strict ~ fr:strictes ≈ en:streak
techniques	technique	3	en:technically ≈ fr:techniques lies ~ en:techniques ≈ fr:technique ~ en:technique ≈ fr:techniquement
tel	telles	3	en:tel ≈ fr:telles ~ fr:telle ≈ en:tell ~ en:tells ≈ fr:tels
tell	telle	3	en:tel ≈ fr:telles ~ fr:telle ≈ en:tell ~ en:tells ≈ fr:tels
tel	telle	3	en:tel ≈ fr:telle ~ fr:telles ≈ en:tell ~ en:tells ≈ fr:tels
tell	telles	3	en:tel ≈ fr:telle ~ fr:telles ≈ en:tell ~ en:tells ≈ fr:tels
tests	teste	3	en:test ≈ fr:tests ~ en:tests ≈ fr:teste
troops	troupes	3	en:troop ≈ fr:troupe ~ fr:troupes ≈ en:troops
troupe	troupes	3	en:troop ≈ fr:troupe ~ en:troupe ≈ fr:troupes = en:troops
bell	bel	2	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
bellies	belize	2	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
beats	bits	2	en:bit = fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
beat	bit	2	en:bit = fr:bits ≈ en:beats ~ en:beat ≈ fr:bit
bootie	coutils	2	en:boot ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
booty	coutil	2	en:boot ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
bootie	coutil	2	en:boot ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
booty	coutils	2	en:boot ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
port	pote	2	en:buddy = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:buddies
ports	potes	2	en:buddy = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:buddies
ports	pote	2	en:buddy = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:buddies
port	potes	2	en:buddy = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:buddies
step	stoppes	2	en:cease ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop
checked	tchèque	2	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
classroom	clans rhume	2	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
clique	clic	2	en:clique ≈ fr:clic ~ en:click ≈ fr:clique
click	clique	2	en:clique ≈ fr:clic ~ en:click ≈ fr:clique
clause	close	2	en:close ~ fr:close ≈ en:clause ~ fr:clause ≈ en:closes
closes	close	2	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
close	closes	2	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
clause	closes	2	en:closed ~ en:closes ≈ fr:clause ~ en:clause ≈ fr:closes
catch	coach	2	en:coaches ~ fr:coach ≈ en:catch ~ fr:catch ≈ en:coach
coach	catch	2	en:coaches ~ fr:coach ≈ en:catch ~ fr:catch ≈ en:coach
exactly	exacts lies	2	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ fr:exact
countries	khan treize	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
country	khan tri	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
coup	coupent	2	en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon = fr:coupons
coupon	coupant	2	en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon = fr:coupons
courts	cote	2	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts
court	cote	2	en:court ≈ fr:cote ~ fr:cotes ≈ en:courts
crass	crasse	2	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
destroys	dissent rose	2	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroyed	dissent rhodes	2	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
excluding	exclus in	2	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclues ≈ en:exclude
exclude	exclues	2	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclues ≈ en:exclude
exclusion	excluant	2	en:excluding ~ fr:excluant ≈ en:exclusion ~ fr:exclus ≈ en:exclude
exclusion	exclus haine	2	en:exclusion ≈ fr:exclus haine ~ en:exclude ≈ fr:exclus
exist	existe	2	en:exit arse ≈ fr:existence ~ en:exist ≈ fr:existe ~ fr:existent ≈ en:exit
expenses	expertises	2	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ en:expert
expense	experts	2	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ en:expert
explained	explosent	2	en:explain ~ en:explained ≈ fr:explosent ~ fr:explose ≈ en:explains ~ en:explaining
explain	explosent	2	en:explained ~ en:explains ≈ fr:explose ~ fr:explosent ≈ en:explain
expert	exporte	2	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export ~ fr:exportés
export	experte	2	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export ~ fr:exportés
expressing	exprès in	2	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:expressed
express	expressions	2	en:expression ~ fr:expressions ≈ en:express = fr:expresse ≈ en:expressing
expressing	expresse	2	en:expression ~ fr:expressions ≈ en:express = fr:expresse ≈ en:expressing
extensively	axent haines flux	2	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
