en	fr	certifications	loop
pleat	plisse	6	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
pleader	plaider	4	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
poof	pouf	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
poop	poupe	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
countries	khan treize	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
country	khan tri	2	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
kindness	cannes noces	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
kindly	cannes lis	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
pieces	pis aise	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pee	pi	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
piece	pisse	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pp	pipi	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
pee	pis	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
troop	troupe	2	en:troop ≈ fr:troupe ~ en:troupe ≈ fr:troupes = en:troops
troupe	troupes	2	en:troop ≈ fr:troupe ~ en:troupe ≈ fr:troupes = en:troops
amended	amènent aide	1	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
edited	aidait aide	1	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
less	laisses	1	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser = fr:moindre
lesser	laissent	1	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser = fr:moindre
